wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: setting up run y7rq6e80
wandb: Tracking run with wandb version 0.23.1
wandb: Run data is saved locally in /data/share/lijiang/250010178/250010178/debug_tmp_6*6for4/wandb/run-20251230_074112-y7rq6e80
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run bumbling-cloud-2
wandb: ⭐️ View project at https://wandb.ai/aysdwjx-ustc/alphazero-gobang-6x6
wandb: 🚀 View run at https://wandb.ai/aysdwjx-ustc/alphazero-gobang-6x6/runs/y7rq6e80
Using device: cuda
Game 151 | Winner: 1 | Loss: 2.9874 | Steps: 31
Game 152 | Winner: -1 | Loss: 2.9096 | Steps: 34
Game 153 | Winner: 0 | Loss: 2.7980 | Steps: 36
Game 154 | Winner: -1 | Loss: 2.4488 | Steps: 34
Game 155 | Winner: -1 | Loss: 2.6474 | Steps: 36
Game 156 | Winner: -1 | Loss: 2.8067 | Steps: 34
Game 157 | Winner: -1 | Loss: 2.7864 | Steps: 36
Game 158 | Winner: 1 | Loss: 2.7636 | Steps: 35
Game 159 | Winner: -1 | Loss: 3.0832 | Steps: 36
Game 160 | Winner: 0 | Loss: 2.8712 | Steps: 36
Game 161 | Winner: -1 | Loss: 2.9908 | Steps: 32
Game 162 | Winner: 1 | Loss: 3.2124 | Steps: 35
Game 163 | Winner: 0 | Loss: 2.6294 | Steps: 36
Game 164 | Winner: 1 | Loss: 2.8275 | Steps: 31
Game 165 | Winner: 1 | Loss: 2.8233 | Steps: 35
Game 166 | Winner: 1 | Loss: 2.8803 | Steps: 35
Game 167 | Winner: -1 | Loss: 2.8146 | Steps: 32
Game 168 | Winner: -1 | Loss: 2.4813 | Steps: 36
Game 169 | Winner: 0 | Loss: 2.8473 | Steps: 36
Game 170 | Winner: 1 | Loss: 3.0932 | Steps: 33
Game 171 | Winner: -1 | Loss: 3.0089 | Steps: 34
Game 172 | Winner: 1 | Loss: 2.8033 | Steps: 35
Game 173 | Winner: 1 | Loss: 2.9287 | Steps: 35
Game 174 | Winner: 1 | Loss: 2.7723 | Steps: 33
Game 175 | Winner: -1 | Loss: 3.0936 | Steps: 32
Game 176 | Winner: 0 | Loss: 2.7955 | Steps: 36
Game 177 | Winner: 1 | Loss: 2.8890 | Steps: 35
Game 178 | Winner: 1 | Loss: 2.8393 | Steps: 35
Game 179 | Winner: -1 | Loss: 2.7886 | Steps: 34
Game 180 | Winner: -1 | Loss: 2.5574 | Steps: 32
Game 181 | Winner: -1 | Loss: 2.9417 | Steps: 34
Game 182 | Winner: 0 | Loss: 2.5179 | Steps: 36
Game 183 | Winner: 0 | Loss: 2.8513 | Steps: 36
Game 184 | Winner: 1 | Loss: 2.7507 | Steps: 33
Game 185 | Winner: 0 | Loss: 2.7796 | Steps: 36
Game 186 | Winner: 0 | Loss: 2.8389 | Steps: 36
Game 187 | Winner: -1 | Loss: 2.7073 | Steps: 36
Game 188 | Winner: -1 | Loss: 2.7117 | Steps: 36
Game 189 | Winner: -1 | Loss: 2.9222 | Steps: 34
Game 190 | Winner: -1 | Loss: 2.8182 | Steps: 36
Game 191 | Winner: 0 | Loss: 2.8194 | Steps: 36
Game 192 | Winner: -1 | Loss: 2.5324 | Steps: 32
Game 193 | Winner: 0 | Loss: 2.6557 | Steps: 36
Game 194 | Winner: -1 | Loss: 3.1416 | Steps: 36
Game 195 | Winner: 0 | Loss: 2.7846 | Steps: 36
Game 196 | Winner: 1 | Loss: 2.5790 | Steps: 35
Game 197 | Winner: 1 | Loss: 2.7476 | Steps: 33
Game 198 | Winner: -1 | Loss: 3.1136 | Steps: 34
Game 199 | Winner: 1 | Loss: 2.8477 | Steps: 33
Game 200 | Winner: -1 | Loss: 3.0528 | Steps: 36
Game 201 | Winner: -1 | Loss: 2.8429 | Steps: 34
Game 202 | Winner: 0 | Loss: 3.1118 | Steps: 36
Game 203 | Winner: -1 | Loss: 2.7332 | Steps: 36
Game 204 | Winner: 0 | Loss: 2.7438 | Steps: 36
Game 205 | Winner: -1 | Loss: 3.0950 | Steps: 36
